date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-16,Whitley,3,18183,16,0,0,16,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Adams,3,18001,7,0,0,7,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Allen,3,18003,397,0,0,397,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Bartholomew,8,18005,7,0,0,7,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Benton,4,18007,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Blackford,6,18009,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Boone,5,18011,28,0,0,28,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Brown,8,18013,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Carroll,4,18015,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Cass,4,18017,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Clark,9,18019,139,0,0,139,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Clinton,4,18023,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Daviess,10,18027,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,De Kalb,3,18033,20,0,0,20,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Decatur,9,18031,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Delaware,6,18035,6,1,0,7,1,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-17,Dubois,10,18037,6,0,0,6,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
