Date,County,ED Visit Count,Hospitalization Count
2020-03-12,Benton,0,0
2020-03-13,Benton,0,0
2020-03-14,Benton,0,0
2020-03-15,Benton,0,0
2020-03-16,Benton,0,0
2020-03-17,Benton,0,0
2020-03-18,Benton,1,0
2020-03-19,Benton,0,0
2020-03-20,Benton,0,0
2020-03-21,Benton,0,0
2020-03-22,Benton,0,1
2020-03-23,Benton,0,0
2020-03-24,Benton,0,0
2020-03-25,Benton,0,1
2020-03-26,Benton,0,0
2020-03-27,Benton,0,1
2020-03-28,Benton,0,0
2020-03-29,Benton,0,0
2020-03-30,Benton,1,0
2020-03-31,Benton,0,0
2020-04-01,Benton,0,0
2020-04-02,Benton,0,0
2020-04-03,Benton,0,0
2020-04-04,Benton,0,0
2020-04-05,Benton,0,0
2020-04-06,Benton,1,0
2020-04-07,Benton,0,0
2020-04-08,Benton,0,0
2020-04-09,Benton,0,0
2020-04-10,Benton,0,0
2020-04-11,Benton,0,0
2020-04-12,Benton,0,0
2020-04-13,Benton,1,0
2020-04-14,Benton,0,0
2020-04-15,Benton,0,0
2020-04-16,Benton,0,0
2020-04-17,Benton,0,0
2020-04-18,Benton,0,0
2020-04-19,Benton,0,0
2020-04-20,Benton,0,0
2020-04-21,Benton,1,0
2020-04-22,Benton,0,0
2020-04-23,Benton,1,0
2020-04-24,Benton,0,0
2020-04-25,Benton,1,0
2020-04-26,Benton,0,0
2020-04-27,Benton,1,0
2020-04-28,Benton,0,0
2020-04-29,Benton,1,1
2020-04-30,Benton,0,0
2020-05-01,Benton,0,0
2020-05-02,Benton,0,0
2020-05-03,Benton,0,0
2020-05-04,Benton,0,0
2020-05-05,Benton,0,0
2020-05-06,Benton,1,1
2020-05-07,Benton,0,0
2020-05-08,Benton,0,0
2020-05-09,Benton,2,1
2020-05-10,Benton,0,0
2020-05-11,Benton,0,0
2020-05-12,Benton,0,0
2020-05-13,Benton,0,0
2020-05-14,Benton,0,0
2020-05-15,Benton,0,0
2020-05-16,Benton,1,0
2020-05-17,Benton,1,0
2020-05-18,Benton,1,0
2020-05-19,Benton,0,0
2020-05-20,Benton,0,0
2020-05-21,Benton,0,0
2020-05-22,Benton,1,0
2020-05-23,Benton,0,0
2020-05-24,Benton,0,0
2020-05-25,Benton,0,0
2020-05-26,Benton,0,0
2020-05-27,Benton,0,0
2020-05-28,Benton,0,1
2020-05-29,Benton,0,0
2020-05-30,Benton,0,0
2020-05-31,Benton,0,0
2020-06-01,Benton,0,0
